City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,64.6,35,0,8.68,clear sky
1,Nanakuli,US,21.3906,-158.1547,84.15,56,40,18.12,scattered clouds
2,Yumen,CN,40.2833,97.2,58.3,23,78,12.15,broken clouds
3,Souillac,MU,-20.5167,57.5167,71.37,84,58,11.56,light rain
4,Hobart,AU,-42.8794,147.3294,52.27,82,75,1.01,light rain
5,Pangai,TO,-19.8,-174.35,77.61,70,4,15.37,clear sky
6,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,11.83,clear sky
7,Tautira,PF,-17.7333,-149.15,86.02,73,47,12.01,scattered clouds
8,Bredasdorp,ZA,-34.5322,20.0403,58.28,34,4,6.64,clear sky
9,Abu Dhabi,AE,24.4667,54.3667,91.42,79,0,10.04,clear sky
10,Salinopolis,BR,-0.6136,-47.3561,78.15,86,43,9.37,scattered clouds
11,Opuwo,NA,-18.0607,13.84,56.95,44,1,4.59,clear sky
12,Praia,CV,14.9215,-23.5087,73.94,73,75,18.41,broken clouds
13,Hermanus,ZA,-34.4187,19.2345,65.89,43,1,12.03,clear sky
14,Axim,GH,4.8699,-2.2405,79.29,81,11,9.37,few clouds
15,Bad Freienwalde,DE,52.7873,14.0304,69.3,48,25,1.01,scattered clouds
16,Taixing,CN,32.1667,120.0136,76.96,61,55,8.72,light rain
17,Alta Floresta,BR,-9.8756,-56.0861,77.83,63,63,3.76,broken clouds
18,Mataura,NZ,-46.1927,168.8643,49.48,83,72,1.99,broken clouds
19,Korla,CN,41.7597,86.1469,71.15,38,36,10.4,scattered clouds
20,Ushuaia,AR,-54.8,-68.3,44.26,57,40,12.66,scattered clouds
21,Mbaiki,CF,3.8678,17.9892,66.99,97,94,0.36,overcast clouds
22,Yucca Valley,US,34.1142,-116.4322,90.54,17,5,8.99,clear sky
23,Fortuna,US,40.5982,-124.1573,72.48,55,1,5.01,clear sky
24,Busselton,AU,-33.65,115.3333,46.09,77,0,8.39,clear sky
25,Rikitea,PF,-23.1203,-134.9692,76.64,84,98,15.88,overcast clouds
26,New Norfolk,AU,-42.7826,147.0587,51.91,78,100,1.99,light rain
27,Oktyabrskoye,RU,43.0645,44.7417,55.54,100,95,4.56,overcast clouds
28,Atuona,PF,-9.8,-139.0333,79.93,64,63,6.69,broken clouds
29,Narsaq,GL,60.9167,-46.05,55.62,64,100,1.34,overcast clouds
30,Albany,US,42.6001,-73.9662,90.25,65,45,7.47,scattered clouds
31,Hilo,US,19.7297,-155.09,80.33,72,90,13.8,light rain
32,Kruisfontein,ZA,-34.0033,24.7314,57.43,21,3,8.28,clear sky
33,Riva,US,38.9521,-76.578,94.84,61,39,7.0,scattered clouds
34,Xuddur,SO,4.1213,43.8894,73.67,74,37,20.09,scattered clouds
35,Chokurdakh,RU,70.6333,147.9167,38.05,71,99,6.13,overcast clouds
36,Vanimo,PG,-2.6741,141.3028,78.01,89,100,5.7,heavy intensity rain
37,Diamantina,BR,-18.2494,-43.6003,63.0,76,99,4.94,overcast clouds
