City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Alfred,ZA,64.6,clear sky,-33.5906,26.891,The Halyards Hotel
1,Nanakuli,US,84.15,scattered clouds,21.3906,-158.1547,Camp Pālehua
3,Souillac,MU,71.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
5,Pangai,TO,77.61,clear sky,-19.8,-174.35,Ha'apai Beach Resort
7,Tautira,PF,86.02,scattered clouds,-17.7333,-149.15,Pension Oaoa
10,Salinopolis,BR,78.15,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
12,Praia,CV,73.94,broken clouds,14.9215,-23.5087,LT Aparthotel
13,Hermanus,ZA,65.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
14,Axim,GH,79.29,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
15,Bad Freienwalde,DE,69.3,scattered clouds,52.7873,14.0304,Ferienwohnung Weinberg Bad Freienwalde
16,Taixing,CN,76.96,light rain,32.1667,120.0136,7Days Inn Taixing Drum Tower South Road
17,Alta Floresta,BR,77.83,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
19,Korla,CN,71.15,scattered clouds,41.7597,86.1469,Gulisitan Hotel
23,Fortuna,US,72.48,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
25,Rikitea,PF,76.64,overcast clouds,-23.1203,-134.9692,Pension Maro'i
28,Atuona,PF,79.93,broken clouds,-9.8,-139.0333,Villa Enata
31,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
34,Xuddur,SO,73.67,scattered clouds,4.1213,43.8894,Banjanay Hotel
36,Vanimo,PG,78.01,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
37,Diamantina,BR,63.0,overcast clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
38,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
39,Lorengau,PG,81.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
42,Jamestown,US,83.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
43,Casselman,CA,86.04,scattered clouds,45.3168,-75.0826,Microtel Inn & Suites Casselman
45,Pindwara,IN,81.54,scattered clouds,24.8,73.0667,Arbuda tour and travels
50,Tahta,EG,79.34,clear sky,26.7693,31.5021,El Salam Hotel
51,Mahebourg,MU,71.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
53,Otradnoye,RU,60.85,broken clouds,59.7775,30.8181,Baza otdikha Petrushinsky Khutor
55,Ponta Do Sol,PT,66.83,clear sky,32.6667,-17.1,Hotel do Campo
60,Catamarca,AR,64.49,scattered clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
62,Balaghat,IN,84.2,clear sky,21.8,80.1833,Hotel celebration
63,Mountain Home,US,76.95,clear sky,43.133,-115.6912,Mountain Home Inn
64,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
65,Port Elizabeth,ZA,63.3,clear sky,-33.918,25.5701,39 On Nile Guest House
66,Vallenar,CL,64.09,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
67,East London,ZA,62.58,clear sky,-33.0153,27.9116,Tu Casa
69,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
73,Luganville,VU,77.4,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
75,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
77,Bardiyah,LY,69.73,clear sky,31.7561,25.0865,بورتو بردية
78,Pisco,PE,66.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
80,Hithadhoo,MV,82.65,clear sky,-0.6,73.0833,Scoop Guest House
81,Labuhan,ID,77.27,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
84,Kapuskasing,CA,85.84,overcast clouds,49.4169,-82.4331,Park Inn Motel
85,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
86,Guerrero Negro,MX,71.19,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
88,Ribeira Grande,PT,65.21,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
92,Vila Franca Do Campo,PT,64.81,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
93,Bassano,CA,62.64,broken clouds,50.7834,-112.4685,Imperial Hunter Hotel
94,Ilo,PE,63.12,few clouds,-17.6394,-71.3375,Torreblanca Hotel
96,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
97,Kalmunai,LK,80.76,overcast clouds,7.4167,81.8167,VS Villa
99,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
101,West Lafayette,US,83.71,overcast clouds,40.4259,-86.9081,Hilton Garden Inn West Lafayette Wabash Landing
102,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
103,Bachaquero,VE,81.37,overcast clouds,9.9694,-71.1494,casa de los dinosaurios
106,Cidreira,BR,63.14,overcast clouds,-30.1811,-50.2056,Hotel Castelo
107,Grand Baie,MU,71.46,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
114,Nouadhibou,MR,66.34,overcast clouds,20.931,-17.0347,El Medina
115,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
119,Bowen,AU,65.82,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
121,Cape Town,ZA,72.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
122,College,US,69.75,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
124,Yining,CN,68.18,overcast clouds,29.0361,114.5636,Xiushui Hotel
128,Bonthe,SL,80.08,light rain,7.5264,-12.505,Bonthe Holiday Village
129,Arraial Do Cabo,BR,74.93,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
131,Xinmin,CN,62.85,clear sky,41.9908,122.8253,Agricultural Machinery Hotel
137,Tual,ID,81.27,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
